2023 
0130-50
0131-100

墨墨背单词
时间-个数	分钟
0201-151	169
0202-150	178
0203-150	99
0204-150	139
0205-140	132
0206-151	109
0207-150	103
0208-150	76
0209-150	72
0210-150	54
0211-124	50	//凌晨在床上背睡着了...
0212-151	72
0213-170	71
0214-160	77
0215-150	66	
0216-150	46
0217-150	43
0218-150	40
0219-150	52
0220-160	66
0221-160	33
0222-160	48
0223-160	40
0224-160	54
0225-180	40
0226-180	33
0227-150	42
0228-0303		//发烧爆炸了
0304-150	32  
0305-50		20
0306-150	38
0307-150	41
0308-150	35
0309-130	30	//没有打卡
0310-30		12
0311-150	28	
0312-150	34
0313-150	45
0314-150	60
0315-150	67
0316-160	76
0317-160	48	//明天换单词书
0318-160	71	//all review
0319-180	37
0320-190	86
0321-190	79
0322-190	79
0323-190	96
0324-190	70
0325-190	88
0326-190	89
0327-190	69
0328-190	58
0329-190	47
0330-190	48
0331-190	25
0401-190	53
0402-190	42
0403-190	52
0404-190	61
0405-190	43
0406-190	47
0407-190	68
0408-190	38
0409-190	43
0410-190	45
0411-190	53
0412-190	43
0413-190	20
0414-190	58
0415-190	46
0416-190	43
0417-200	60
0418-200	46
0419-220	49
0420-220	40
0421-220	50
0422-200	39
0423-200	56
0424-200	42
0425-200	53
0426-200	35
